country_name,country_iso3c,aliases,unicef_region
Afghanistan,AFG,,South Asia
Angola,AGO,,Eastern and Southern Africa
Anguilla,AIA,,Latin America and Caribbean
Albania,ALB,,Eastern Europe and Central Asia
Andorra,AND,,Western Europe
United Arab Emirates,ARE,,Middle East and North Africa
Argentina,ARG,,Latin America and Caribbean
Armenia,ARM,,Eastern Europe and Central Asia
Antigua and Barbuda,ATG,,Latin America and Caribbean
Australia,AUS,,East Asia and Pacific
Austria,AUT,,Western Europe
Azerbaijan,AZE,,Eastern Europe and Central Asia
Burundi,BDI,,Eastern and Southern Africa
Belgium,BEL,,Western Europe
Benin,BEN,,West and Central Africa
Burkina Faso,BFA,,West and Central Africa
Bangladesh,BGD,,South Asia
Bulgaria,BGR,,Eastern Europe and Central Asia
Bahrain,BHR,,Middle East and North Africa
Bahamas,BHS,,Latin America and Caribbean
Bosnia and Herzegovina,BIH,,Eastern Europe and Central Asia
Belarus,BLR,,Eastern Europe and Central Asia
Belize,BLZ,,Latin America and Caribbean
Bolivia,BOL,,Latin America and Caribbean
Brazil,BRA,,Latin America and Caribbean
Barbados,BRB,,Latin America and Caribbean
Brunei Darussalam,BRN,,East Asia and Pacific
Bhutan,BTN,,South Asia
Botswana,BWA,,Eastern and Southern Africa
Central African Republic,CAF,,West and Central Africa
Canada,CAN,,North America
Switzerland,CHE,,Western Europe
Chile,CHL,,Latin America and Caribbean
China,CHN,,East Asia and Pacific
Cote d'Ivoire,CIV,,West and Central Africa
Cameroon,CMR,,West and Central Africa
"Congo, Democratic Republic",COD,,West and Central Africa
Congo,COG,,West and Central Africa
Cook Islands,COK,,East Asia and Pacific
Colombia,COL,,Latin America and Caribbean
Comoros,COM,,Eastern and Southern Africa
Cabo Verde,CPV,,West and Central Africa
Costa Rica,CRI,,Latin America and Caribbean
Cuba,CUB,,Latin America and Caribbean
Cyprus,CYP,,Western Europe
Czech Republic,CZE,,Western Europe
Germany,DEU,,Western Europe
Djibouti,DJI,,Eastern and Southern Africa
Dominica,DMA,,Latin America and Caribbean
Denmark,DNK,,Western Europe
Dominican Republic,DOM,,Latin America and Caribbean
Algeria,DZA,,Middle East and North Africa
Ecuador,ECU,,Latin America and Caribbean
Egypt,EGY,,Middle East and North Africa
Eritrea,ERI,,Eastern and Southern Africa
Spain,ESP,,Western Europe
Estonia,EST,,Western Europe
Ethiopia,ETH,,Eastern and Southern Africa
Finland,FIN,,Western Europe
Fiji,FJI,,East Asia and Pacific
France,FRA,,Western Europe
Micronesia,FSM,,East Asia and Pacific
Gabon,GAB,,West and Central Africa
United Kingdom,GBR,,Western Europe
Georgia,GEO,,Eastern Europe and Central Asia
Ghana,GHA,,West and Central Africa
Guinea,GIN,,West and Central Africa
Gambia,GMB,,West and Central Africa
Guinea-Bissau,GNB,,West and Central Africa
Equatorial Guinea,GNQ,,West and Central Africa
Greece,GRC,,Western Europe
Grenada,GRD,,Latin America and Caribbean
Guatemala,GTM,,Latin America and Caribbean
Guyana,GUY,,Latin America and Caribbean
Honduras,HND,,Latin America and Caribbean
Croatia,HRV,,Eastern Europe and Central Asia
Haiti,HTI,,Latin America and Caribbean
Hungary,HUN,,Western Europe
Indonesia,IDN,,East Asia and Pacific
India,IND,,South Asia
Ireland,IRL,,Western Europe
Iran,IRN,,Middle East and North Africa
Iraq,IRQ,,Middle East and North Africa
Iceland,ISL,,Western Europe
Israel,ISR,,Middle East and North Africa
Italy,ITA,,Western Europe
Jamaica,JAM,,Latin America and Caribbean
Jordan,JOR,,Middle East and North Africa
Japan,JPN,,East Asia and Pacific
Kazakhstan,KAZ,,Eastern Europe and Central Asia
Kenya,KEN,,Eastern and Southern Africa
Kyrgyzstan,KGZ,,Eastern Europe and Central Asia
Cambodia,KHM,,East Asia and Pacific
Kiribati,KIR,,East Asia and Pacific
Saint Kitts and Nevis,KNA,,Latin America and Caribbean
"Korea, South",KOR,,East Asia and Pacific
Kuwait,KWT,,Middle East and North Africa
Laos,LAO,,East Asia and Pacific
Lebanon,LBN,,Middle East and North Africa
Liberia,LBR,,West and Central Africa
Libya,LBY,,Middle East and North Africa
Saint Lucia,LCA,,Latin America and Caribbean
Liechtenstein,LIE,,Western Europe
Sri Lanka,LKA,,South Asia
Lesotho,LSO,,Eastern and Southern Africa
Lithuania,LTU,,Western Europe
Luxembourg,LUX,,Western Europe
Latvia,LVA,,Western Europe
Morocco,MAR,,Middle East and North Africa
Monaco,MCO,,Western Europe
Moldova,MDA,,Eastern Europe and Central Asia
Madagascar,MDG,,Eastern and Southern Africa
Maldives,MDV,,South Asia
Mexico,MEX,,Latin America and Caribbean
Marshall Islands,MHL,,East Asia and Pacific
North Macedonia,MKD,,
Mali,MLI,,West and Central Africa
Malta,MLT,,Western Europe
Myanmar,MMR,,East Asia and Pacific
Montenegro,MNE,,Eastern Europe and Central Asia
Mongolia,MNG,,East Asia and Pacific
Mozambique,MOZ,,Eastern and Southern Africa
Mauritania,MRT,,West and Central Africa
Montserrat,MSR,,Latin America and Caribbean
Mauritius,MUS,,Eastern and Southern Africa
Malawi,MWI,,Eastern and Southern Africa
Malaysia,MYS,,East Asia and Pacific
Namibia,NAM,,Eastern and Southern Africa
Niger,NER,,West and Central Africa
Nigeria,NGA,,West and Central Africa
Nicaragua,NIC,,Latin America and Caribbean
Niue,NIU,,East Asia and Pacific
Netherlands,NLD,,Western Europe
Norway,NOR,,Western Europe
Nepal,NPL,,South Asia
Nauru,NRU,,East Asia and Pacific
New Zealand,NZL,,East Asia and Pacific
Oman,OMN,,Middle East and North Africa
Pakistan,PAK,,South Asia
Panama,PAN,,Latin America and Caribbean
Peru,PER,,Latin America and Caribbean
Philippines,PHL,,East Asia and Pacific
Palau,PLW,,East Asia and Pacific
Papua New Guinea,PNG,,East Asia and Pacific
Poland,POL,,Western Europe
"Korea, North",PRK,,East Asia and Pacific
Portugal,PRT,,Western Europe
Paraguay,PRY,,Latin America and Caribbean
Palestine,PSE,,Middle East and North Africa
Qatar,QAT,,Middle East and North Africa
Romania,ROU,,Eastern Europe and Central Asia
Russian Federation,RUS,,Eastern Europe and Central Asia
Rwanda,RWA,,Eastern and Southern Africa
Saudi Arabia,SAU,,Middle East and North Africa
Sudan,SDN,,Eastern and Southern Africa
Senegal,SEN,,West and Central Africa
Singapore,SGP,,East Asia and Pacific
Solomon Islands,SLB,,East Asia and Pacific
Sierra Leone,SLE,,West and Central Africa
El Salvador,SLV,,Latin America and Caribbean
San Marino,SMR,,Western Europe
Somalia,SOM,,Eastern and Southern Africa
Serbia,SRB,,Eastern Europe and Central Asia
South Sudan,SSD,,Eastern and Southern Africa
Sao Tome and Principe,STP,,West and Central Africa
Suriname,SUR,,Latin America and Caribbean
Slovakia,SVK,,Western Europe
Slovenia,SVN,,Western Europe
Sweden,SWE,,Western Europe
Eswatini,SWZ,,Eastern and Southern Africa
Seychelles,SYC,,Eastern and Southern Africa
Syria,SYR,,Middle East and North Africa
Turks and Caicos Islands,TCA,,Latin America and Caribbean
Chad,TCD,,West and Central Africa
Togo,TGO,,West and Central Africa
Thailand,THA,,East Asia and Pacific
Tajikistan,TJK,,Eastern Europe and Central Asia
Tokelau,TKL,,East Asia and Pacific
Turkmenistan,TKM,,Eastern Europe and Central Asia
Timor-Leste,TLS,,East Asia and Pacific
Tonga,TON,,East Asia and Pacific
Trinidad and Tobago,TTO,,Latin America and Caribbean
Tunisia,TUN,,Middle East and North Africa
Turkey,TUR,,Eastern Europe and Central Asia
Tuvalu,TUV,,East Asia and Pacific
Tanzania,TZA,,Eastern and Southern Africa
Uganda,UGA,,Eastern and Southern Africa
Ukraine,UKR,,Eastern Europe and Central Asia
Uruguay,URY,,Latin America and Caribbean
United States of America,USA,,North America
Uzbekistan,UZB,,Eastern Europe and Central Asia
Holy See,VAT,,Western Europe
Saint Vincent and the Grenadines,VCT,,Latin America and Caribbean
Venezuela,VEN,,Latin America and Caribbean
"Virgin Islands, British",VGB,,Latin America and Caribbean
Vietnam,VNM,,East Asia and Pacific
Vanuatu,VUT,,East Asia and Pacific
Samoa,WSM,,East Asia and Pacific
Yemen,YEM,,Middle East and North Africa
South Africa,ZAF,,Eastern and Southern Africa
Zambia,ZMB,,Eastern and Southern Africa
Zimbabwe,ZWE,,Eastern and Southern Africa
Kosovo,XXK,,Eastern Europe and Central Asia
